address,type,x-text
0x46b344,string,"REF で動作しますが、重すぎて恐らくゲームになりません...\n"
0x46b380,string,"Direct3D の初期化に失敗、これではゲームは出来ません\n"
0x46b3b8,string,"バックバッファをロック不可能にしてみます\n"
0x46b3e4,string,"リフレッシュレートが変更できません、vsync 非同期に変更します\n"
0x46b424,string,"HAL も使用できないようです\n"
0x46b440,string,"T&L HAL は使用できないようです\n"
0x46b460,string,"リフレッシュレートを60Hzに変更します\n"
0x46b488,string,"初回起動、画面を 16Bits で初期化しました\n"
0x46b4b4,string,"初回起動、画面を 32Bits で初期化しました\n"
0x46b4e0,string,"二つは起動できません\n"
0x46b4f8,string,"Touhou Koumakyou App"
0x46b510,string,"./log.txt"
0x46b520,string,"log"
0x46b524,string,"---------------------------------------------------------- \n"
0x46b56c,string,"error : MIDI File が読み込めない %s \n"
0x46b5d4,string,"error :\n"
0x46b5f0,string,"error : 文字の初期化に失敗しました\n"
0x46b614,string,"data/text.anm"
0x46b624,string,"data/title/th06logo.jpg"
0x46b64c,string,"有効なパッドを発見しました\n"
0x46b668,string,"DirectInput は正常に初期化されました\n"
0x46b690,string,"DirectInput SetCooperativeLevel が使用できません\n"
0x46b6c4,string,"DirectInput SetDataFormat が使用できません\n"
0x46b6f0,string,"DirectInput が使用できません\n"
0x46b724,string,"%.02ffps"
0x46b738,string,"error : データのバージョンが違います\n"
0x46b760,string,"ver%.4x.dat"
0x46b76c,string,"%s open ...\n"
0x46b780,string,"フォルダが書込み禁止属性になっているか、ディスクがいっぱいいっぱいになってませんか？\n"
0x46b7d8,string,"ファイルが書き出せません %s\n"
0x46b7f8,string,"パッド、キーボードの入力に DirectInput を使用しません\n"
0x46b830,string,"リファレンスラスタライザを強制します\n"
0x46b858,string,"ウィンドウモードで起動します\n"
0x46b878,string,"テクスチャの色合成を抑制しますn"
0x46b898,string,"６０フレーム強制モードにします\n"
0x46b8b8,string,"デプステストを抑制します\n"
0x46b8d4,string,"グーローシェーディングを抑制します\n"
0x46b8f8,string,"ゲーム周りのアイテムの描画を抑制します\n"
0x46b920,string,"バックバッファの消去を強制します\n"
0x46b944,string,"16Bit のテクスチャの使用を強制します\n"
